,index,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
11,57331,gdb_57332,CC(C)(C)C(C)(O)C#N,1.9955,1.44918,1.28556,3.2312,81.49,-0.292,0.0197,0.3117,1173.0821,0.190328,-404.373144,-404.362144,-404.3612,-404.407992,41.599
12,41874,gdb_41875,C1OC2CC=CCC2O1,3.26461,1.52559,1.09605,1.21,76.05,-0.2478,0.0172,0.265,1091.3257,0.162135,-423.038819,-423.031444,-423.0305,-423.071012,28.785
13,66078,gdb_66079,CC1(OCC1C=O)C#N,2.39049,1.35419,1.16578,3.8742,69.63,-0.2765,-0.0509,0.2256,1108.8514,0.12162,-437.88161,-437.872537,-437.871592,-437.916447,31.647
14,14117,gdb_14118,NC(=O)C12CCC1O2,4.12997,1.77143,1.39409,2.3369,61.76,-0.2506,0.0076,0.2582,877.7635,0.118777,-399.798035,-399.790674,-399.789729,-399.82969,27.655
15,5912,gdb_5913,CC(O)(CC#N)C#N,4.12214,1.29158,1.2275,0.8795,62.16,-0.321,-0.0099,0.311,990.051,0.105074,-378.745558,-378.736936,-378.735992,-378.778609,30.403
16,54318,gdb_54319,NC(=O)C1(CO1)C1CC1,2.6661,1.37584,1.11053,2.1356,71.64,-0.2451,0.0189,0.264,1142.9117,0.147017,-439.086583,-439.077756,-439.076811,-439.120362,33.21
17,86456,gdb_86457,CC1CN(C)CC(=O)N1,1.84707,1.68399,0.92617,3.9491,80.9,-0.2216,0.0338,0.2553,1296.6041,0.183757,-420.446252,-420.43716,-420.436216,-420.479887,34.559
18,77230,gdb_77231,CC1C(CC1C=O)C=O,3.39366,0.92092,0.79841,1.3256,77.7,-0.2512,-0.0441,0.2071,1421.7409,0.156548,-423.034929,-423.025348,-423.024404,-423.070501,33.758
19,6061,gdb_6062,NC(N)=[NH+]CC([O-])=O,5.2155,1.03458,0.87053,7.53,61.15,-0.2435,0.0213,0.2648,1232.211,0.119309,-433.168202,-433.159786,-433.158842,-433.201838,30.369
20,29476,gdb_29477,CC1=CCc2c1[nH]cn2,3.14033,1.63157,1.08814,3.4293,82.2,-0.1883,-0.0011,0.1871,1079.6311,0.138594,-380.921011,-380.913604,-380.91266,-380.952619,29.035
21,11058,gdb_11059,CC12CCC(C1)OC2,3.23876,2.18882,1.8538,1.6257,73.23,-0.2353,0.0773,0.3126,832.4659,0.179792,-349.026875,-349.019944,-349.018999,-349.05741,28.521
22,77130,gdb_77131,CC1C(CC1=O)C(C)=O,2.84742,1.11227,0.90304,3.5222,77.59,-0.2437,-0.0241,0.2196,1324.4835,0.155991,-423.064027,-423.054221,-423.053277,-423.099958,34.775
23,78896,gdb_78897,CC1C2C3C4OC1C4N23,2.92101,2.07265,1.66598,0.5037,72.34,-0.2388,0.0537,0.2925,871.1946,0.150307,-401.891149,-401.884721,-401.883777,-401.921645,26.907
24,73813,gdb_73814,CC1=C(C)C2(O)CC2C1,2.38442,1.58227,1.10296,1.2928,85.4,-0.2114,0.0305,0.2419,1178.7199,0.181221,-387.100706,-387.091338,-387.090394,-387.13409,36.143
25,108662,gdb_108663,CC1CCC(C)=C1CO,2.07171,1.40155,0.95118,1.3717,88.79,-0.2219,0.0233,0.2452,1339.2744,0.205269,-388.312857,-388.302673,-388.301729,-388.348054,37.783
26,72206,gdb_72207,CC12CC3=CCC(O1)C23,3.38449,1.77156,1.42179,1.0156,81.51,-0.2194,-0.0078,0.2116,960.0619,0.159955,-385.835951,-385.828782,-385.827838,-385.866911,29.815
27,87144,gdb_87145,CC1OC1(C)C1(C)CC1,2.6385,1.22174,1.13209,1.7435,85.51,-0.2557,0.089,0.3447,1265.8056,0.202887,-388.275702,-388.265408,-388.264464,-388.310477,38.91
28,101408,gdb_101409,CCC(O)C1COC1=N,3.05246,1.06295,0.94424,1.676,76.09,-0.2679,0.0201,0.288,1331.4274,0.170425,-440.287892,-440.278427,-440.277483,-440.322568,34.728
29,106065,gdb_106066,CCC12C3CC1(O)CN23,2.43222,1.61291,1.33978,1.927,78.44,-0.2225,0.066,0.2886,1070.6236,0.170373,-403.087798,-403.079071,-403.078127,-403.121143,33.397
30,51314,gdb_51315,C1COCC(=C1)NC=O,3.69176,1.08821,0.86899,3.9849,79.13,-0.221,-0.0055,0.2156,1301.5717,0.149246,-439.116694,-439.108459,-439.107515,-439.150098,30.724
31,34657,gdb_34658,C#CC1=CCOCCC1,3.30846,1.13415,0.89768,1.1506,87.3,-0.2287,-0.0259,0.2029,1297.4319,0.159611,-385.861199,-385.852646,-385.851702,-385.894541,32.831
32,96948,gdb_96949,CN=C1OC2C3OC1C23,4.27408,1.36752,1.22224,2.9862,71.19,-0.2334,0.0055,0.2389,1032.7519,0.124877,-437.835344,-437.828191,-437.827247,-437.867364,27.315
33,19613,gdb_19614,CC1C2C3C2C1C3C,3.6099,1.92241,1.59025,0.2136,77.99,-0.2429,0.0983,0.3412,907.31,0.177814,-311.824802,-311.817443,-311.816499,-311.855817,29.696
34,44685,gdb_44686,O=C1OC2C=CCCC12,3.29625,1.45011,1.11674,4.5034,72.9,-0.2651,-0.0069,0.2581,1070.4755,0.138505,-421.8699,-421.862736,-421.861792,-421.901792,27.773
35,124696,gdb_124697,CC(CO)C1=NNN=N1,3.97789,0.93885,0.91724,1.5342,69.55,-0.2708,-0.0264,0.2445,1309.7606,0.136753,-451.309921,-451.301068,-451.300124,-451.344596,31.105
36,127727,gdb_127728,Cn1c(c(nn1)C=O)N,3.48777,1.25186,0.92753,8.2779,73.34,-0.2395,-0.0372,0.2023,1190.4152,0.112478,-450.132619,-450.123978,-450.123033,-450.166045,30.563
37,57855,gdb_57856,CC(O)C(=O)C(O)C#C,2.29495,1.26361,0.94138,1.6919,70.57,-0.2697,-0.0485,0.2212,1256.5699,0.131616,-458.934081,-458.923989,-458.923045,-458.969413,36.354
38,45718,gdb_45719,O=C1CC(C=CN1)C#C,3.40262,1.17274,0.89839,2.8066,77.84,-0.2254,-0.0116,0.2138,1230.1115,0.124866,-400.762685,-400.7546,-400.753656,-400.795483,30.888
39,44119,gdb_44120,O=C1CC2C(C#C)N2C1,2.41472,1.69672,1.35116,1.9386,73.7,-0.2323,-0.0243,0.208,985.901,0.123589,-400.712689,-400.704931,-400.703987,-400.745164,29.928
40,58764,gdb_58765,CC(C)C12CC(C1)CC2,2.87133,1.22854,1.18103,0.1006,91.66,-0.2807,0.0792,0.3599,1248.1555,0.230602,-352.361698,-352.352699,-352.351755,-352.394945,36.361
41,31648,gdb_31649,CNc1cc(n(c1)C)O,3.57945,1.05421,0.83095,0.7473,81.25,-0.1557,0.0669,0.2226,1393.0653,0.158679,-419.223916,-419.213827,-419.212883,-419.259496,35.906
42,38058,gdb_38059,C1C2C=CC1C=CC=C2,2.43187,2.13629,1.55104,0.194,86.44,-0.2124,-0.0235,0.1889,931.8563,0.163664,-348.775366,-348.7687,-348.767755,-348.805903,28.396
43,26239,gdb_26240,CC(O)C1=NC=C(C)N1,3.89754,1.0249,0.8545,4.4767,79.44,-0.2172,0.0261,0.2432,1378.9829,0.159506,-419.259584,-419.250266,-419.249322,-419.294141,34.19
44,118852,gdb_118853,CCOC1(C)CC1CO,2.26103,0.99772,0.78882,1.0973,83.51,-0.2427,0.0805,0.3231,1566.4093,0.202649,-425.404346,-425.3933,-425.392356,-425.441082,39.761
45,104941,gdb_104942,C#CC#CC1(CC1)CO,2.85196,0.8698,0.72016,1.2162,93.46,-0.2364,-0.0194,0.2169,1560.5231,0.133588,-384.619325,-384.609775,-384.608831,-384.654144,35.064
46,10069,gdb_10070,CCC(CO)CC#C,3.11855,1.18454,0.92508,1.8292,77.21,-0.2595,0.0521,0.3116,1276.2163,0.174142,-348.9701,-348.959972,-348.959028,-349.005552,36.024
47,65088,gdb_65089,CC1(CC1)C12CC1CC2,2.97926,1.29402,1.15516,0.2644,89.34,-0.2368,0.0882,0.325,1206.2316,0.206126,-351.118586,-351.109781,-351.108837,-351.15198,35.241
48,68203,gdb_68204,CC12CC(C1)C(O2)C=O,3.07729,1.40389,1.22925,3.3189,75.96,-0.2408,-0.0258,0.2149,1084.2937,0.158595,-423.018729,-423.010661,-423.009717,-423.051291,31.338
49,68048,gdb_68049,CC12CC(O)(C1)C21CO1,2.16087,1.85771,1.29704,2.5487,76.12,-0.2499,0.0757,0.3257,1049.2065,0.157618,-422.956559,-422.948006,-422.947061,-422.989054,33.472
50,115626,gdb_115627,CN1CC11CCC1CO,2.7176,1.10942,0.97126,1.2227,83.02,-0.2245,0.0785,0.303,1338.3809,0.193059,-404.299637,-404.28985,-404.288906,-404.334566,36.282
51,79721,gdb_79722,CC1N2C3CC3C2C1=O,2.45391,1.8277,1.44456,1.9597,74.73,-0.2301,-0.0278,0.2024,973.5742,0.147405,-401.889307,-401.881531,-401.880587,-401.921471,30.182
52,85561,gdb_85562,CC1OC(=O)NC=C1C,2.9025,1.37336,1.0658,4.597,75.56,-0.2182,0.0057,0.224,1158.7088,0.147835,-439.150232,-439.141455,-439.14051,-439.183705,32.697
53,92510,gdb_92511,CC1OC2CCC2=C1C,2.53779,1.56221,1.10499,1.5052,86.99,-0.2181,0.0162,0.2343,1175.1068,0.182207,-387.076747,-387.067956,-387.067012,-387.109969,33.807
54,133439,gdb_133440,OC1=NC(F)=NOC1=N,3.15936,1.48879,1.01194,2.049,58.43,-0.2602,-0.0881,0.1721,1020.2302,0.065349,-529.9484,-529.9415,-529.940556,-529.980259,25.508
55,131206,gdb_131207,C1COc2n1nnc2O,3.40458,1.62234,1.11788,3.9209,64.16,-0.2093,0.003,0.2123,1003.8909,0.103452,-469.981847,-469.974855,-469.973911,-470.013444,26.043
56,64964,gdb_64965,OC1(CC1)C(=O)C1CO1,3.46576,1.11478,0.96318,3.694,70.53,-0.2441,-0.0343,0.2098,1236.6338,0.133645,-458.931075,-458.922272,-458.921328,-458.965309,32.346
57,84792,gdb_84793,CC1C=CCC1C(C)=O,2.6466,1.30888,1.10043,2.4553,83.46,-0.2366,-0.0101,0.2265,1209.4786,0.181718,-387.128584,-387.119182,-387.118237,-387.163073,34.971
58,20408,gdb_20409,C1COc2c1n[nH]n2,4.96133,2.17212,1.54126,1.9793,58.82,-0.2252,-0.0049,0.2202,757.5328,0.099264,-394.771117,-394.765067,-394.764123,-394.801775,22.141
59,130,gdb_131,COCC=O,29.05433,2.28555,2.17705,2.7959,40.04,-0.2577,-0.0282,0.2295,546.3932,0.088447,-268.27324,-268.267033,-268.266088,-268.30312,19.186
60,107302,gdb_107303,CC1=CC2NC2(CO)C1,4.06183,1.04984,0.94135,2.2435,81.03,-0.2217,0.0173,0.239,1306.3489,0.171253,-403.134537,-403.125746,-403.124801,-403.167718,33.882
61,132145,gdb_132146,Cc1cc(=O)c(co1)F,3.19593,1.335,0.94719,5.0116,68.45,-0.2435,-0.0426,0.2009,1145.2223,0.100036,-481.833647,-481.825961,-481.825017,-481.866018,28.405
62,54081,gdb_54082,CC(=O)[C-](OC=[NH2+])C=O,2.29514,1.45141,0.93696,5.2991,73.45,-0.2129,-0.043,0.1698,1214.94,0.122596,-475.043317,-475.034349,-475.033405,-475.077626,32.007
63,48679,gdb_48680,O=CC12CN1C(=O)CC2,3.53284,1.2587,1.08101,2.2867,69.8,-0.2612,-0.0417,0.2195,1100.4949,0.123967,-437.904461,-437.896626,-437.895681,-437.937425,28.978
64,96697,gdb_96698,CC(=O)OC(=NC)C#N,2.8651,1.11821,0.91819,2.8651,71.02,-0.2917,-0.0675,0.2242,1297.8467,0.108957,-453.983662,-453.973765,-453.972821,-454.019808,32.802
65,74024,gdb_74025,CC1=C2CCC2OC1=O,2.81682,1.62049,1.10904,4.8074,77.0,-0.2548,-0.0373,0.2175,1082.5265,0.136453,-421.855157,-421.847324,-421.84638,-421.887711,29.468
66,43743,gdb_43744,N=C1OC2(CC#N)CC12,4.68088,1.00499,0.94819,2.1159,71.25,-0.2767,0.0043,0.281,1213.1722,0.112466,-416.792063,-416.784227,-416.783282,-416.825057,29.032
67,82820,gdb_82821,CC1C2CN3CC1(O)C23,2.25869,1.98714,1.46035,2.4415,77.34,-0.204,0.0671,0.2711,988.0799,0.17124,-403.085667,-403.077581,-403.076637,-403.117813,32.13
68,97488,gdb_97489,C#CCC#CC#CCO,7.36762,0.42608,0.41497,1.4607,95.62,-0.2365,-0.0193,0.2172,2514.4439,0.10908,-383.391498,-383.381238,-383.380294,-383.429541,34.621
69,133724,gdb_133725,CN=COCC(F)(F)F,3.8293,0.77274,0.74464,2.6711,59.25,-0.2631,0.015,0.2781,1508.731,0.107012,-585.443361,-585.434082,-585.433138,-585.478953,31.663
70,113455,gdb_113456,CCC1CC11OC2CC12,3.95769,0.99838,0.95675,1.4738,83.58,-0.2236,0.0807,0.3043,1354.5307,0.18152,-387.032609,-387.023885,-387.022941,-387.066104,33.817
71,85304,gdb_85305,CC1OC(=O)C2CC1N2,2.45336,1.83576,1.31997,5.0095,71.64,-0.2414,0.0118,0.2532,1004.1278,0.149816,-439.099653,-439.092215,-439.091271,-439.131409,29.403
72,72931,gdb_72932,CC12CCC1C1OCC21,2.64289,1.69684,1.43759,1.7246,80.87,-0.239,0.0669,0.3059,1022.6406,0.183565,-387.039067,-387.031265,-387.030321,-387.071225,31.498
73,50214,gdb_50215,O=CN1CC2C3C1CN23,4.24552,1.31048,1.17383,2.6964,72.75,-0.2435,0.027,0.2705,1044.6424,0.138606,-417.984011,-417.977111,-417.976167,-418.015835,26.963
74,89107,gdb_89108,CC1CC1CCOC=O,3.99889,0.60289,0.57347,4.3351,81.06,-0.2747,0.0104,0.2852,1959.9998,0.180807,-424.239063,-424.22888,-424.227936,-424.276154,35.634
75,10256,gdb_10257,CC(O)C(C#C)C#C,2.17432,2.07749,1.11263,0.9529,72.43,-0.2589,0.0255,0.2844,1042.9013,0.126583,-346.532477,-346.523305,-346.522361,-346.56591,33.759
76,36078,gdb_36079,N#CCC12C3CC1OC23,3.73282,1.1963,1.10419,4.6293,72.03,-0.2445,0.0294,0.2739,1111.5525,0.124925,-400.68977,-400.682428,-400.681484,-400.722254,27.855
77,104029,gdb_104030,CCC1(C)CC2OC2C1,2.59058,1.33536,1.18149,1.7088,84.1,-0.2541,0.0843,0.3384,1200.8206,0.20595,-388.295524,-388.286507,-388.285563,-388.328689,35.744
78,55850,gdb_55851,CC(=O)CC1NC1(C)C,3.54856,0.81975,0.73468,2.1379,83.84,-0.2345,-0.0079,0.2266,1640.8275,0.190634,-404.357947,-404.347087,-404.346142,-404.395039,38.848
79,76392,gdb_76393,NC1C(N)C1(N)C(N)=O,2.51693,1.18557,1.13389,1.4153,73.24,-0.2108,0.0248,0.2356,1196.7215,0.159966,-452.519871,-452.509474,-452.50853,-452.555275,38.145
80,91825,gdb_91826,OC1CC2CC2(O)C=C1,3.33776,1.2343,1.04137,1.9725,76.77,-0.2313,0.006,0.2373,1174.6575,0.159425,-423.01476,-423.006379,-423.005434,-423.047343,33.309
81,125711,gdb_125712,CC1=NOC(=N)C(O)=N1,3.10585,1.48734,1.01202,2.6781,70.48,-0.2486,-0.0713,0.1773,1101.9121,0.100677,-470.000557,-469.992763,-469.991819,-470.033144,28.906
82,755,gdb_756,c1cn[nH]c1N,9.26884,3.6096,2.61073,3.385,47.71,-0.206,0.038,0.244,473.2325,0.087866,-281.48553,-281.480242,-281.479298,-281.513921,19.271
83,87683,gdb_87684,CC1CC11CC(O)C1=O,2.78193,1.18028,1.00554,2.1707,78.01,-0.2307,-0.0273,0.2034,1256.5283,0.157088,-423.020627,-423.011141,-423.010197,-423.055433,34.431
84,15536,gdb_15537,CC1C=CCC1C#C,3.44438,1.77512,1.3126,0.6034,78.4,-0.2429,0.021,0.2639,960.45,0.153629,-310.650675,-310.642725,-310.641781,-310.682714,30.563
85,115141,gdb_115142,OCC1NCC(=O)C1=O,2.59697,1.39373,1.09152,5.3782,65.62,-0.2418,-0.0999,0.1419,1113.1216,0.123959,-475.032254,-475.023881,-475.022937,-475.065835,30.532
86,10281,gdb_10282,CCC(C#N)C(N)=O,2.5531,1.7643,1.0952,0.5797,65.73,-0.2667,0.0102,0.2769,1056.9535,0.129717,-379.979288,-379.970294,-379.96935,-380.013519,31.566
87,16808,gdb_16809,CC1C=C(C)C2OC12,3.5836,1.84432,1.40802,1.7401,73.27,-0.2339,0.0093,0.2432,939.6372,0.153605,-347.802188,-347.794527,-347.793583,-347.833781,29.314
88,3315,gdb_3316,CN=C1OC2CC12,7.95729,1.94111,1.74187,2.1361,60.78,-0.2492,0.0232,0.2724,737.2831,0.11326,-324.538807,-324.532321,-324.531377,-324.569272,23.519
89,75114,gdb_75115,CC1=CCC(=O)CNC1,2.74038,1.29238,0.99494,3.4478,82.05,-0.2177,-0.0123,0.2054,1242.5391,0.171811,-403.162241,-403.153455,-403.15251,-403.195805,33.353
90,92844,gdb_92845,CC1CN=C2OCC2O1,2.95315,1.54745,1.29053,2.3604,72.16,-0.2488,0.0111,0.2599,1030.2187,0.14873,-439.06817,-439.060399,-439.059455,-439.10071,29.756
91,123786,gdb_123787,c1cnoc1NC2CC2,5.26947,0.99033,0.86643,3.8594,76.7,-0.2075,0.017,0.2245,1314.099,0.137099,-417.981535,-417.973633,-417.972689,-418.014947,29.587
92,87381,gdb_87382,CC1OC11C(C)NC1=O,2.21473,1.57562,1.07277,4.4362,73.51,-0.2429,0.0145,0.2573,1158.6853,0.145767,-439.090691,-439.081506,-439.080562,-439.124646,33.575
93,3739,gdb_3740,Cn1cc(cn1)N,7.3369,2.04513,1.61925,2.5426,60.89,-0.1914,0.0299,0.2212,747.7096,0.115351,-320.769272,-320.762279,-320.761335,-320.800604,24.701
94,19825,gdb_19826,OC1CC2C3CC3C12,3.46112,2.17332,1.82791,1.2583,70.16,-0.2299,0.0674,0.2973,798.2806,0.155172,-347.74083,-347.734132,-347.733188,-347.771227,27.562
95,46973,gdb_46974,O=C1OCC2CC=CN12,3.05486,1.74154,1.18445,4.8364,70.06,-0.222,0.008,0.2299,995.2094,0.12738,-437.94057,-437.933624,-437.93268,-437.972358,26.436
96,90934,gdb_90935,CC1OC2C3CC1C23O,3.01201,1.45659,1.40719,1.0712,74.07,-0.2205,0.0694,0.2899,1027.1042,0.159599,-422.992896,-422.985082,-422.984138,-423.024672,31.457
97,11345,gdb_11346,[NH3+]CC1=CC(=O)O[CH-]1,5.20685,1.27087,1.0858,4.8043,63.43,-0.2389,-0.0104,0.2285,1055.5668,0.119639,-399.834967,-399.827503,-399.826559,-399.867064,27.285
98,89515,gdb_89516,CC1CC2(C)CCCC12,2.25144,1.54967,1.13571,0.0781,91.81,-0.2693,0.0791,0.3484,1233.402,0.230383,-352.373046,-352.363915,-352.362971,-352.406474,36.592
99,131278,gdb_131279,c1c(nnc(n1)O)C=O,5.50464,1.07899,0.90216,2.5816,67.03,-0.2579,-0.0933,0.1646,1159.9142,0.078381,-468.831199,-468.824231,-468.823286,-468.863017,25.299
100,75594,gdb_75595,CC1=CCCCCC=C1,2.45333,1.36353,1.0091,0.2124,95.33,-0.2202,-0.0002,0.22,1291.8555,0.207651,-351.177873,-351.168952,-351.168007,-351.210941,35.273
101,81675,gdb_81676,OC1C2CC1OC(=N)C2,3.57645,1.31004,1.21566,2.7584,72.73,-0.2468,0.022,0.2688,1065.2745,0.1494,-439.082999,-439.075468,-439.074524,-439.11496,30.072
102,130670,gdb_130671,C1CC1c2[nH]c(=O)on2,5.50149,0.98795,0.89395,5.8877,67.84,-0.2494,-0.004,0.2454,1259.2089,0.11369,-453.958248,-453.950691,-453.949746,-453.991221,27.964
103,63676,gdb_63677,CC1(C)CC1CCC=O,4.25488,0.6226,0.60001,2.9284,88.47,-0.2455,-0.0185,0.227,1927.2733,0.20271,-388.298652,-388.287911,-388.286967,-388.335386,38.701
104,130177,gdb_130178,C1c2c([nH]nc2N)CO1,3.30453,1.50247,1.04809,1.2374,71.62,-0.2068,0.0295,0.2363,1082.0344,0.127752,-434.069543,-434.061848,-434.060904,-434.101874,28.769
105,71683,gdb_71684,CC12OC3C4C(OC14)C23,2.85303,2.24653,1.69771,1.0606,69.1,-0.2257,0.0705,0.2963,837.4187,0.137374,-421.759013,-421.752762,-421.751818,-421.789268,26.448
106,41674,gdb_41675,C1OCC2N=CN3C1C23,2.87595,2.06624,1.62681,1.075,70.14,-0.2479,-0.0083,0.2396,856.979,0.140234,-417.982542,-417.976278,-417.975334,-418.012979,25.719
107,103562,gdb_103563,CCC1(C)CC(=O)N1C,2.47683,1.23119,1.08372,3.9742,83.38,-0.2365,0.0415,0.278,1267.1941,0.19244,-404.387033,-404.376715,-404.375771,-404.42215,37.724
108,88945,gdb_88946,CC1CC1CC(C)(C)C,2.80793,0.87035,0.82261,0.1399,96.33,-0.2596,0.0767,0.3362,1636.5495,0.249804,-353.55984,-353.548521,-353.547577,-353.596208,43.072
109,37654,gdb_37655,C1C2C3C4C3C1N1C4C21,2.80128,2.63156,2.23759,1.7335,74.94,-0.2198,0.0873,0.3071,751.9284,0.153428,-364.798349,-364.793326,-364.792382,-364.827326,23.631
110,11214,gdb_11215,O=CC1CNC(=O)O1,4.73245,1.49475,1.32459,3.2891,54.14,-0.2718,-0.0505,0.2213,889.951,0.096024,-435.790242,-435.783232,-435.782288,-435.822224,24.601
111,72176,gdb_72177,OC12CC3OC1OCC23,2.43428,2.23096,1.72353,1.8289,66.07,-0.2458,0.0655,0.3113,852.5629,0.137949,-458.941895,-458.935197,-458.934252,-458.972612,27.574
112,86220,gdb_86221,CC1CC(C)C(N1)C#N,2.49732,1.22297,0.88002,4.8835,83.25,-0.235,0.0329,0.2679,1357.9643,0.183364,-383.298544,-383.289058,-383.288113,-383.33324,35.334
113,20043,gdb_20044,C1NC1C1=CCOC1,5.48108,1.31976,1.16844,3.0946,72.17,-0.2204,0.0165,0.2369,1036.0339,0.143476,-363.83234,-363.82492,-363.823975,-363.864801,26.942
114,52568,gdb_52569,CC#CC(=O)CCC=O,4.38774,0.56414,0.51,4.7691,82.27,-0.2521,-0.0566,0.1956,2083.0772,0.131257,-421.830364,-421.81964,-421.818696,-421.870256,34.618
115,48630,gdb_48631,O=CC12CC(COC1)N2,3.27917,1.42854,1.1957,2.68,71.84,-0.2371,-0.0355,0.2017,1049.2658,0.14921,-439.064862,-439.05732,-439.056376,-439.09701,29.198
116,84430,gdb_84431,CC12NC1(C)C(O)C=C2,2.3696,1.68106,1.25489,1.8702,79.66,-0.2263,-0.0057,0.2206,1082.9758,0.170464,-403.139883,-403.130897,-403.129953,-403.172854,35.013
117,91435,gdb_91436,CC1OC2CC(C=O)C12,2.46744,1.6239,1.16988,2.2133,75.04,-0.2437,-0.027,0.2167,1083.2392,0.158131,-422.999624,-422.991161,-422.990217,-423.033153,31.585
118,7706,gdb_7707,N=C1CC(=O)OCO1,3.72247,1.95039,1.37812,3.5746,55.64,-0.282,-0.0146,0.2674,836.6061,0.096797,-435.78112,-435.774593,-435.773649,-435.812172,24.034
119,90300,gdb_90301,CC1CC2=CC3OC3C12,2.89207,1.7111,1.38223,1.5925,80.31,-0.2365,0.001,0.2375,992.9464,0.160448,-385.850202,-385.842827,-385.841883,-385.881696,29.924
120,48031,gdb_48032,C(C#CC=O)C(=O)C=O,6.14169,0.57907,0.53085,2.9172,71.47,-0.2698,-0.1154,0.1544,1887.4075,0.084439,-456.550438,-456.54078,-456.539836,-456.588049,30.714
121,20956,gdb_20957,CCOc1cc[nH]n1,7.30752,1.17037,1.02166,1.6119,67.5,-0.2139,0.0315,0.2454,1132.9023,0.131812,-379.940701,-379.933023,-379.932079,-379.973158,27.788
122,11465,gdb_11466,CCC1CC(O)CO1,3.44314,1.46023,1.3541,1.6958,71.09,-0.2406,0.0707,0.3114,1035.5301,0.17708,-386.149921,-386.141311,-386.140367,-386.183313,31.798
123,100850,gdb_100851,CCN(C)C(C=O)C#N,2.52764,1.06181,0.89102,4.8782,77.0,-0.251,-0.0489,0.202,1376.5778,0.156161,-419.208095,-419.197614,-419.19667,-419.24431,36.08
124,123438,gdb_123439,C(C1CN1)C1=NNN=N1,3.85317,1.15983,1.09018,1.7125,69.05,-0.2435,-0.0374,0.2061,1125.6679,0.127336,-430.203827,-430.196326,-430.195382,-430.237013,27.235
125,48651,gdb_48652,O=CC12CC1(CO2)C#N,2.58726,1.38648,1.13333,3.4133,69.98,-0.2726,-0.0615,0.2111,1072.5557,0.099663,-436.657782,-436.649923,-436.648979,-436.690568,28.449
126,84127,gdb_84128,CC1=CC(O)C2(CC2)C1,2.62798,1.34201,1.00462,2.0205,85.19,-0.2388,0.0191,0.2579,1256.2747,0.182381,-387.096022,-387.087043,-387.086099,-387.129881,34.859
127,86228,gdb_86229,CC1CC(O)C(O1)C#C,2.57995,1.33527,1.08935,1.616,76.99,-0.2525,0.0381,0.2906,1181.4591,0.15769,-422.996208,-422.98696,-422.986015,-423.030346,34.812
128,63143,gdb_63144,CC1(O)C2CCC1CC2,2.18421,1.91272,1.53338,1.3051,83.19,-0.2547,0.0654,0.3201,1025.8645,0.208546,-388.318881,-388.310685,-388.309741,-388.350663,34.368
129,80847,gdb_80848,CC1=CC2NC1(C)C2O,2.05295,1.69023,1.54551,0.8796,79.9,-0.2267,0.0068,0.2334,1042.4463,0.170689,-403.11087,-403.102243,-403.101299,-403.143465,34.09
